ID,YEAR,REGION,FESTIVAL_NAME,IMAGE_PATH,Aesthetic,Aesthetic_Description,Thematic,Thematic_Description,Readability,Readability_Description,Creativity,Creativity_Description
경남_10,2025,경남,2025년_사천시_삼천포항_수산물축제,C:\workspace\uv_festival\홍보물\2025\경남\2025년_사천시_삼천포항_수산물축제\포스터\2025년_사천시_삼천포항_수산물축제_poster_01_20250523.jpg,7.5,"밝고 산뜻한 색채 구성으로 해양 축제의 분위기를 잘 살렸습니다. 중심 인물과 물고기 일러스트의 위치 배치가 균형 잡혀 시각적으로 안정감을 줍니다. 다만, 전체적으로 정보가 많아 조금 복잡해 보이는 점이 아쉽습니다.",9,"수산물 축제라는 주제가 이미지, 텍스트, 이벤트 내용과 잘 연결되어 명확하게 드러납니다. 바다와 수산물 일러스트, 축제 날짜 및 장소도 일관된 콘셉트로 표현되어 행사의 핵심 테마가 잘 전달됩니다.",6.5,"빨간색 날짜와 장소 정보가 배경과 대비되어 눈에 잘 띄지만, 하단 인물 사진과 이름 텍스트가 다소 작고 글자 색 대비가 약해 가독성이 낮은 부분이 있습니다. 전체적으로 정보량이 많아 시선 이동이 다소 분산될 수 있습니다.",6,전통적인 축제 포스터 형식을 따르면서도 일러스트 캐릭터를 활용한 점은 신선합니다. 다만 형식적 변주가 크지 않고 색상이나 모티프의 다양성 측면에서 참신함이 다소 부족해 보입니다.
경남_11,2025,경남,ON산청_빛나는_여름밤_페스티벌,C:\workspace\uv_festival\홍보물\2025\경남\ON산청_빛나는_여름밤_페스티벌\포스터\ON산청_빛나는_여름밤_페스티벌_poster_01_20250727.jpg,8,명도와 채도가 조화롭게 구성되어 밤하늘과 빛나는 요소들이 잘 어우러져 있음. 주요 타이틀이 중앙에 균형 있게 배치되어 시각적 안정감을 제공. 일러스트와 사진 이미지가 통일감 있게 구성되어 전반적인 완성도가 높음.,9,"텍스트와 시각 이미지가 축제의 밤이라는 주제와 명확하게 일치함. 제목과 로고, 이미지 모두 여름밤 페스티벌의 즐거움과 활기를 잘 전달하며 콘셉트가 일관됨. 행사에 대한 정보와 시각적 요소 간 의미적 연결이 확실히 드러남.",7,"텍스트 색상이 배경과 적절한 대비를 이루어 가독성이 양호하나, 일부 작은 글씨는 다소 읽기 어려움. 날짜, 장소, 프로그램 구성이 명확하지만 시선 흐름이 약간 복잡해 집중도가 떨어질 수 있음. 정보의 구조화가 조금 더 명확하면 좋겠음.",7,"밤하늘과 빛을 모티프로 한 시각적 연출이 전반적으로 신선하나, 표현 방식은 다소 전통적인 편. 색상과 구성에서 독특한 패턴은 드물지만 조화로운 변주가 돋보임. 축제 포스터로서의 독자성은 있으나 더 파격적인 시도가 있으면 좋을 듯."
경남_15,2025,경남,경남고성공룡세계엑스포,C:\workspace\uv_festival\홍보물\2025\경남\경남고성공룡세계엑스포\포스터\경남고성공룡세계엑스포_poster_05_20251001.jpg,7,"배경의 색채는 가을 풍경과 하늘의 조화로움이 돋보이나, 전반적으로 다소 어두운 톤이 조금 무거운 느낌을 준다. 중앙 이미지 구도가 안정적이며, 포스터 내 캐릭터와 배경이 통일감을 이룬다.",8,"포스터 제목과 이미지, 텍스트가 '익룡'이라는 주제에 잘 부합하며, 행사 콘셉트가 명확히 전달된다. 비행하는 익룡 이미지와 텍스트가 시각적, 의미적으로 일관되어 관람객에게 명확한 메시지를 준다.",7,"글자의 대비가 충분하여 주요 제목은 쉽게 인식 가능하나, 하단 설명문은 배경과 대비가 약간 부족해 가독성이 다소 떨어진다. 정보의 계층 구조는 명확하지만, 시선 흐름이 조금 산만할 수 있다.",6,"익룡 비행 장면을 실감나게 재현한 점은 독창적이나, 전체 레이아웃은 기존 축제 포스터와 유사한 형식을 띠고 있어 형식적 참신성은 다소 제한적이다. 시각적 요소들이 전반적으로 익숙한 패턴에 머문다."
경남_14,2025,경남,경남고성공룡세계엑스포,C:\workspace\uv_festival\홍보물\2025\경남\경남고성공룡세계엑스포\포스터\경남고성공룡세계엑스포_poster_03_20251001.jpg,7.0,"파란색을 기본으로 한 색채 구성이 안정적이며, 노란색과 흰색이 강조되어 눈에 잘 띕니다. 포스터 중앙에 크게 배치된 네 개의 이미지가 균형을 이루지만, 구도에서 약간의 단조로움이 느껴집니다.",8.5,"포스터 내 이미지와 텍스트가 공룡, 서커스, 공원 전시 등 행사 주제와 잘 맞아떨어집니다. 제목, 행사 정보, 이미지 간 의미적 연결이 명확하여 행사의 핵심 컨셉이 일관성 있게 전달됩니다.",8.0,"폰트와 배경색 대비가 좋아 정보가 명확히 식별됩니다. 제목, 행사 기간, 장소, 문의 등의 정보가 계층적으로 잘 배열되어 있어 가독성이 우수하며 시선 흐름도 자연스럽습니다.",6.5,"기본적인 정보 전달 형식을 따르면서도 이미지 4분할 배치와 곡선형 텍스트 사용으로 참신성을 더했습니다. 다만, 전체적인 구성과 색상에서 큰 독창성이나 변화는 제한적입니다."
경남_16,2025,경남,고성_수산물_가리비_축제,C:\workspace\uv_festival\홍보물\2025\경남\고성_수산물_가리비_축제\포스터\고성_수산물_가리비_축제_poster_05_20251031.jpg,6.5,"전체적으로 따뜻한 가을톤 색채가 조화를 이루나, 색상 대비가 다소 약해 시각적 포인트가 부족합니다. 사진과 텍스트의 배치가 균형을 이루나, 구도의 리듬감은 평범한 편입니다.",8.0,"축제의 핵심인 ‘수산물’과 ‘가을단풍’ 주제가 명확히 드러나며, 텍스트와 이미지가 적절히 연결되어 있어 주제 전달력이 높습니다. 행사 일정과 참여자 소개가 잘 조화되어 콘셉트 일관성이 돋보입니다.",7.5,"텍스트 색상과 배경 간 대비가 충분해 정보 식별이 용이합니다. 구성은 제목, 일정, 장소, 출연진 등으로 잘 구분되어 있으나, 시선의 흐름은 다소 산만한 감이 있습니다.",5.5,"전통적인 포스터 형식을 크게 벗어나지 않아 참신함이 제한적입니다. 이미지와 정보 배열이 전형적이며, 독창적 시각 패턴이나 표현의 새로움이 부족한 편입니다."
경남_18,2025,경남,남부면_수국축제,C:\workspace\uv_festival\홍보물\2025\경남\남부면_수국축제\포스터\남부면_수국축제_poster_01_20250622.jpg,8.0,"부드럽고 조화로운 파스텔톤 색채가 사용되어 명도와 채도의 대비가 적절하며, 전체적으로 안정된 구도를 보여줍니다. 수국 꽃과 배경 풍경이 자연스럽게 어우러져 일러스트 완성도가 높습니다.",9.0,"‘수국, 여름을 걷다’라는 제목과 수국 꽃, 여름 풍경이 명확히 연결되어 주제 적합성이 우수합니다. 텍스트와 이미지가 행사 콘셉트와 조화를 이루고 있어 메시지 전달이 효과적입니다.",7.5,"배경이 다채롭지만 주요 텍스트는 대비가 적절하여 가독성이 양호합니다. 제목, 날짜, 장소가 체계적으로 배치되어 정보 구조가 잘 구성되어 있습니다. 다만 일부 작은 텍스트는 배경과 조금 어우러져 가독성이 다소 떨어질 수 있습니다.",7.0,전통적인 축제 포스터 형식을 유지하면서도 꽃과 자연을 강조한 일러스트 표현이 신선합니다. 전체적으로 무난한 구성이나 색상과 모티프 사용에 있어 약간의 독창성이 드러납니다.
경남_17,2025,경남,기월안뜰_경관농업지구_가을꽃축제,C:\workspace\uv_festival\홍보물\2025\경남\기월안뜰_경관농업지구_가을꽃축제\포스터\기월안뜰_경관농업지구_가을꽃축제_poster_03_20250912.png,8,"밝고 화사한 색채 구성과 부드러운 명도 대비가 잘 어우러져 시각적 안정감을 줍니다. 중앙에 배치된 주제와 하단 인물 일러스트의 조화로 전체적인 균형감이 뛰어나며, 일러스트의 통일된 형태와 리듬감이 완성도 높게 표현되었습니다.",9,"‘가을꽃 축제’라는 주제에 맞춰 꽃과 자연, 사람들의 여유로운 모습이 잘 연출되어 시각과 텍스트가 조화를 이룹니다. 축제의 핵심 정보를 명확히 전달하며 테마와 콘텐츠 간 일관성이 높아 행사 목적에 부합합니다.",9,"글자와 배경의 색 대비가 뚜렷하여 텍스트 확인이 용이합니다. 제목, 날짜, 장소 등의 정보 계층이 분명하고 시선 흐름이 자연스럽게 이어져 이해하기 쉽습니다.",7,"전통적인 축제 포스터 형식을 유지하면서도 일러스트와 색감 활용에서 참신함이 돋보입니다. 다만, 전반적인 구성은 무난한 편으로, 시각적 패턴이나 표현에서 더 독특한 시도가 있으면 좋겠습니다."
경남_19,2025,경남,당항포대첩축제,C:\workspace\uv_festival\홍보물\2025\경남\당항포대첩축제\포스터\당항포대첩축제_poster_01_20250425.jpg,7,"색채는 주로 푸른 계열을 기반으로 하여 차분하면서도 경쾌한 빛의 효과를 사용해 시각적 흥미를 유발합니다. 구도는 중앙의 이순신 장군 동상을 중심으로 균형을 잡았고, 배경의 곡선 형태들이 조화롭게 흐름을 만듭니다. 다만 일부 텍스트 위치가 다소 밀집되어 있어 시각적 완성도에서 약간 아쉬움이 있습니다.",8,행사 주제인 당항포대첩과 이순신 장군을 중심 소재로 사용하여 시각·텍스트 요소들이 일관되게 축제의 역사적 의미를 잘 전달합니다. ‘바다의 빛이 되어라’라는 문구와 해양 관련 이미지가 콘셉트와 조화를 이룹니다. 전체적으로 주제와 텍스트의 시멘틱 연결이 명확합니다.,7,"주요 정보는 크고 굵은 글씨로 잘 구분되어 가독성이 높은 편입니다. 배경과 대비되는 흰색 및 붉은색 글자가 눈에 잘 띄지만, 일부 작은 문자나 보조 설명은 다소 읽기 어려울 수 있습니다. 시선의 흐름은 자연스럽고 정보 구조도 논리적 배치가 돋보입니다.",6,역사적 요소에 디지털 빛 효과를 활용하여 전통과 현대적 감각의 결합을 시도한 점은 신선합니다. 하지만 전반적인 구성은 다소 전형적인 축제 홍보 포스터의 문법을 크게 벗어나지 않아 독창성에서는 중간 정도 수준입니다. 일부 모티프는 보다 창의적으로 변주할 여지가 있습니다.
경남_21,2025,경남,문화다양성축제_MAMF(맘프)_2025,C:\workspace\uv_festival\홍보물\2025\경남\문화다양성축제_MAMF(맘프)_2025\포스터\문화다양성축제_MAMF(맘프)_2025_poster_02_20251024.jpg,8,"색상은 청명한 하늘색 배경과 원색적인 ‘MA’ ‘MF’ 글자의 대비가 돋보이며, 전체적으로 균형 잡힌 구도와 리드미컬한 형태 배열이 안정감을 준다. 일러스트와 텍스트가 조화를 이루며 축제의 생동감을 효과적으로 전달한다.",9,"포스터의 제목과 이미지가 다문화 축제라는 주제와 직접 연결되어 있어 주제 적합성이 높다. 텍스트와 그림이 다문화와 축제의 분위기를 잘 반영하며, 행사 목적과 콘셉트가 일관되게 유지되고 있다.",8,"주요 정보인 날짜, 장소, 행사명이 명확한 대비를 지녀 쉽게 읽힌다. 계층적으로 정보가 잘 정리되어 시선 흐름이 자연스럽고, 흰색 텍스트가 청색 배경과 명확히 구분되어 가독성이 우수하다.",7,전통적인 포스터 구성을 따르면서도 글자 색상의 변화와 밑부분 일러스트를 활용해 시각적 참신함을 부여했다. 다만 큰 틀에서는 다소 익숙한 형식을 유지해 독창성 면에서는 보통 수준이다.
경남_23,2025,경남,산청_농특산물_대제전,C:\workspace\uv_festival\홍보물\2025\경남\산청_농특산물_대제전\포스터\산청_농특산물_대제전_poster_03_20250411.png,7.5,"밝고 선명한 색채 조합과 명확한 대비가 돋보이며, 캐릭터와 배경이 조화롭게 어우러져 안정적이다. 구도는 중심을 잡아 시선을 끌고 있으며, 일러스트 스타일이 통일되어 완성도가 높다.",8.5,"텍스트와 이미지가 행사 주제인 농특산물과 연관성이 강하며, 핵심 메시지가 명확히 전달된다. 귀여운 캐릭터와 시각적 요소들이 '산청'과 '농특산물 대제전'의 콘셉트와 잘 맞아 일관성을 유지한다.",8.0,"글자와 배경의 대비가 좋아 높은 판독성을 제공한다. 제목, 날짜, 장소가 계층적으로 잘 구분되어 정보 전달이 명확하며, 시선 흐름 또한 자연스럽게 유도되어 편안한 읽기가 가능하다.",7.0,"일러스트 캐릭터 활용과 색상 배치에서 참신함이 느껴지나, 정보 구성은 다소 전형적인 축제 포스터 형식을 따른다. 하지만 전반적으로 밝고 경쾌한 연출로 독자적인 분위기를 창출했다."
경남_24,2025,경남,산청황매산철쭉제,C:\workspace\uv_festival\홍보물\2025\경남\산청황매산철쭉제\포스터\산청황매산철쭉제_poster_01_20250426.jpg,8.0,"분홍색과 초록색의 대비가 아름답고, 꽃과 산의 구도가 조화롭다. 다채로운 색채가 안정감을 주며 시각적 리듬감이 뛰어나다.",9.0,포스터 텍스트와 이미지는 산청 황매산 철쭉축제라는 주제를 잘 반영한다. 꽃과 산을 시각적으로 일치시켜 콘셉트가 명확하고 일관성 있다.,7.5,주요 정보가 계층적으로 정리되어 있으며 대비가 좋아 판독이 쉽다. 다만 세로로 배치된 큰 제목이 시선 흐름을 약간 방해할 수 있다.,7.0,"전통적인 축제 포스터 형식에서 크게 벗어나지 않았지만, 산과 꽃을 일러스트레이션으로 표현한 점이 신선하다. 전반적인 구성은 안정적이며 독창성이 다소 제한적임."
경남_20,2025,경남,만화방초_수국축제,C:\workspace\uv_festival\홍보물\2025\경남\만화방초_수국축제\포스터\만화방초_수국축제_poster_03_20250701.jpg,8,부드러운 보라색과 파스텔 톤의 색채 구성이 조화를 이루어 시각적으로 편안함을 준다. 사진 배치가 다소 불균형할 수 있으나 전체적으로 안정감 있는 구도를 형성하고 있다.,9,"행사의 주요 테마인 '만화방초 수국축제'를 명확하게 표현하였으며, 사진과 텍스트가 의미적으로 잘 연결되어 있다. 텍스트와 이미지가 서로 어우러지며 축제의 분위기를 잘 전달한다.",7,"글자와 배경의 대비가 충분해 텍스트 판독성은 좋은 편이나, 정보 배치가 다소 산만해 시선 흐름이 완벽히 자연스럽지는 않다. 주요 정보(제목, 장소, 날짜)는 식별 용이하다.",6,전반적으로 전형적인 축제 포스터 형식을 따르고 있어 신선한 시각적 변주나 독창성은 제한적이다. 다만 꽃 사진의 콜라주 형식은 무난한 차별점을 준다.
경남_22,2025,경남,배내골사과축제,C:\workspace\uv_festival\홍보물\2025\경남\배내골사과축제\포스터\배내골사과축제_poster_01_20251101.jpg,7,"밝고 경쾌한 분홍 배경과 다채로운 일러스트 요소들이 조화를 이루어 시각적 활기를 준다. 구도는 중앙 경로를 따라 시선을 유도하여 균형감이 있으나, 일부 요소들이 다소 산만하게 배치되어 있다. 일러스트 스타일과 전체 톤은 통일감 있게 완성되었다.",8,"제목과 이미지, 텍스트가 ‘사과 축제’라는 주제와 잘 연결되어 있으며, 과일과 시장을 표현한 시각 요소들이 축제 콘셉트에 적합하다. 텍스트 내용과 이미지 사이의 의미적 연관성이 명확하고 행사 정보 전달에 효과적이다.",6,"제목과 주요 정보는 명확하게 구분되었으나, 상단 텍스트는 다중 색상과 그림자 처리로 인해 가독성이 다소 떨어진다. 정보의 계층구조는 비교적 잘 구성되어 있어 시선 이동에 큰 어려움은 없으나 텍스트 대비가 개선되면 좋겠다.",7,"귀여운 일러스트와 축제 경로를 나선형으로 표현한 점이 참신하며 독창적인 시각적 요소를 보여준다. 전통적인 축제 홍보물과는 다른 밝고 친근한 스타일이 돋보이나, 일부 반복적 모티프로 인해 창의성 측면에서 더 발전 가능하다."
